,Unnamed: 0,Date Occurred,Time Occurred,Area Name,Reporting District,Crime Code Description,Victim Age,Victim Sex,Victim Descent,Premise Description,Location ,Month,Day,Year,Lat,Lon,Datetime,Daily Max Temp
11994,1008876,05/23/2015,10,Rampart,205,PICKPOCKET,31.0,M,H,NIGHT CLUB (OPEN EVENINGS ONLY),"(34.0839, -118.2741)",5,23,2015,34.0839,-118.2741,2015-05-23,20.2
12124,1009020,05/30/2015,2350,Rampart,237,THROWING OBJECT AT MOVING VEHICLE,23.0,M,H,FREEWAY,"(34.0567, -118.2555)",5,30,2015,34.0567,-118.2555,2015-05-30,28.8
12154,1009056,05/29/2015,1500,Rampart,233,ARSON,35.0,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0692, -118.2792)",5,29,2015,34.0692,-118.2792,2015-05-29,27.8
12596,1009543,06/22/2015,223,Rampart,247,ARSON,28.0,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0596, -118.2701)",6,22,2015,34.0596,-118.2701,2015-06-22,30.7
12622,1009573,06/22/2015,2040,Rampart,236,THROWING OBJECT AT MOVING VEHICLE,34.0,M,O,CAR WASH,"(34.0657, -118.268)",6,22,2015,34.0657,-118.268,2015-06-22,30.7
12647,1009602,06/23/2015,2204,Rampart,236,CRIMINAL HOMICIDE,23.0,M,H,STREET,"(34.0657, -118.268)",6,23,2015,34.0657,-118.268,2015-06-23,30.9
12849,1009829,07/02/2015,1000,Rampart,265,ARSON,29.0,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0544, -118.2767)",7,2,2015,34.0544,-118.2767,2015-07-02,31.7
13327,1010374,07/26/2015,1650,Rampart,246,PICKPOCKET,45.0,F,B,OTHER STORE,"(34.0596, -118.2749)",7,26,2015,34.0596,-118.2749,2015-07-26,30.4
13351,1010400,07/27/2015,1850,Rampart,246,PICKPOCKET,13.0,F,H,DRIVEWAY,"(34.0598, -118.2734)",7,27,2015,34.0598,-118.2734,2015-07-27,28.8
13361,1010411,07/28/2015,2015,Rampart,237,ARSON,38.0,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0611, -118.2623)",7,28,2015,34.0611,-118.2623,2015-07-28,30.8
13902,1011023,08/21/2015,1930,Rampart,217,THROWING OBJECT AT MOVING VEHICLE,22.0,F,H,STREET,"(34.0727, -118.2637)",8,21,2015,34.0727,-118.2637,2015-08-21,27.2
14055,1011204,08/27/2015,400,Rampart,221,ARSON,26.0,F,H,"VEHICLE, PASSENGER/TRUCK","(34.0777, -118.2932)",8,27,2015,34.0777,-118.2932,2015-08-27,36.6
14075,1011228,08/29/2015,50,Rampart,245,KIDNAPPING,27.0,F,H,STREET,"(34.0597, -118.2795)",8,29,2015,34.0597,-118.2795,2015-08-29,36.4
14546,1011769,09/19/2015,1730,Rampart,249,PICKPOCKET,24.0,F,H,STREET,"(34.0541, -118.2595)",9,19,2015,34.0541,-118.2595,2015-09-19,34.2
14767,1012008,09/30/2015,150,Rampart,299,ARSON,31.0,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0389, -118.2762)",9,30,2015,34.0389,-118.2762,2015-09-30,31.5
14768,1012009,09/30/2015,129,Rampart,299,ARSON,44.0,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0389, -118.2762)",9,30,2015,34.0389,-118.2762,2015-09-30,31.5
14964,1012240,10/09/2015,740,Rampart,271,ARSON,14.0,X,X,AUTOMATED TELLER MACHINE (ATM),"(34.0524, -118.2836)",10,9,2015,34.0524,-118.2836,2015-10-09,38.6
15193,1012513,10/18/2015,2310,Rampart,279,CRIMINAL HOMICIDE,27.0,M,H,SIDEWALK,"(34.0481, -118.2712)",10,18,2015,34.0481,-118.2712,2015-10-18,23.5
15613,1013017,11/08/2015,1840,Rampart,291,CRIMINAL HOMICIDE,15.0,M,H,SIDEWALK,"(34.0444, -118.2834)",11,8,2015,34.0444,-118.2834,2015-11-08,23.8
